--- invoices ---
ID: 153f1e75-a78b-43fc-961a-8736d13d7774, Date: 2026-05-09, Doc Name: ECI - 081, No: 081, Client: ECI DISPLAY INDIA PVT LTD , Total: 7080
ID: a61e4e6f-e622-4ee0-b34b-cac531c05fb8, Date: 2026-06-01, Doc Name: Tax Invoice 090, No: 090, Client: INDIAN POWER PRESS ENGINEERS, Total: 57820
ID: c3df617e-f585-4b8d-afe0-37ed669185af, Date: 2026-05-11, Doc Name: Tax Invoice 084, No: 084, Client: ECI DISPLAY INDIA PVT LTD , Total: 4720
ID: 19830ba9-0525-4117-aae2-5bd4a39622ec, Date: 2026-04-26, Doc Name: Tax Invoice 079, No: 079, Client: fuso glass india pvt ltd, Total: 44840
ID: c7998cff-75f2-4c8c-80d6-fb69d870528d, Date: 2026-04-17, Doc Name: Tax Invoice 076, No: 076, Client: ECI DISPLAY INDIA PRIVATE LIMITED, Total: 27730
ID: 943ef9b1-5044-4ab8-95eb-588106ebaab0, Date: 2026-07-15, Doc Name: TOPRUN AUTOMOTIVE INDIA PRIVATE LIMITED - 101, No: 101, Client: TOPRUN AUTOMOTIVE INDIA PRIVATE LIMITED, Total: 70800
ID: 2d88281b-1f3e-424e-ac34-64ee77b74290, Date: 2026-07-01, Doc Name: Tax Invoice 096, No: 096, Client: TATA STEEL COLORS PVT LTD, Total: 61360
ID: eb53da38-d9e4-4771-be49-c8e1a127791c, Date: 2026-06-05, Doc Name: Tax Invoice 091, No: 091, Client: fuso glass india pvt ltd, Total: 36462
ID: ac91e5a8-e427-44fb-b6fa-eb91369c2452, Date: 2026-04-25, Doc Name: Hi-lex - 077, No: 077, Client: HI-LEX INDIA PVT LTD, Total: 26550
ID: 53ab84c3-6848-48f4-a024-984aa3f01bf7, Date: 2026-07-19, Doc Name: Laxmi acc, No: 102, Client: LAKSHMI AAC BLOCKS, Total: 70800
ID: e3688183-acf3-4f77-8fc3-77da5685364a, Date: 2026-04-07, Doc Name: Serama Logistics Private Limited - 074, No: 074, Client: Serama Logistics Limited, Total: 26904
ID: e0c91c57-81d7-491b-bfc0-291cd985fcc0, Date: 2026-07-01, Doc Name: NVH - 097, No: 097, Client: NVH INDIA AUTO PARTS LIMITED, Total: 15222
ID: 8682905a-50ce-4957-84a7-a14d6e894b64, Date: 2026-06-05, Doc Name: Tax Invoice 092, No: 092, Client: K M C PETROCHEMICALS PRIVATE  LIMITED, Total: 4720
ID: 0f0d3559-ca9c-4c67-a4bf-32438174ed2d, Date: 2026-05-25, Doc Name: Tax Invoice 086, No: 086, Client: ECI DISPLAY INDIA PVT LTD , Total: 4720
ID: 05c6f492-e3d7-4868-9f46-621ca632f574, Date: 2026-05-15, Doc Name: Tax Invoice 085, No: 085, Client: SKS LIFT CARRIERS, Total: 94990
ID: de9b1603-f818-48ad-b94f-e2f8fc54ff03, Date: 2026-04-25, Doc Name: Tax Invoice 078, No: 078, Client: fuso glass india pvt ltd, Total: 8260
ID: 0a0ce9e5-d88a-4fbd-8116-e53976b6e523, Date: 2026-04-11, Doc Name: MIPALLOY PRIVATE LIMITED - 075, No: 075, Client: MIPALLOY PRIVATE LIMITED , Total: 14160
ID: 4a7fc9c0-89c3-4687-a937-480d65574dec, Date: 2026-07-22, Doc Name: AMT - 103, No: 103, Client: AMERICAN TEC ELECTRONIC INDIA PVT LTD, Total: 16520
ID: 2a5b59eb-e477-40fc-8724-ef3ee2153c95, Date: 2026-06-08, Doc Name: Tax Invoice 093, No: 093, Client: TATA STEEL COLORS PVT LTD, Total: 46020
ID: 9f96b9b6-cbcd-47f4-9066-5fbf3198e1a7, Date: 2026-05-28, Doc Name: Tax Invoice 087, No: 087, Client: ECI DISPLAY INDIA PVT LTD , Total: 4130
